id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16
21881566-21881566_analysis_0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0
21881566-21881566_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21881566-21881566_analysis_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21881566-21881566_analysis_3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
21881566-21881566_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
21955370-21955370_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22590530-22590530_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22678652-22678652_analysis_0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
22678652-22678652_analysis_1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
22840551-22840551_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
22840551-22840551_analysis_4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23548839-23548839_analysis_0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23548839-23548839_analysis_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23548839-23548839_analysis_2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_analysis_7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
23639347-23639347_analysis_0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0
23639347-23639347_analysis_1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23895223-23895223_analysis_0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
24294906-24294906_analysis_0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
24294906-24294906_analysis_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
24412433-24412433_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24412433-24412433_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24412433-24412433_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24412687-24412687_analysis_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24731078-24731078_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24731078-24731078_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24731078-24731078_analysis_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24731078-24731078_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24731078-24731078_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24731078-24731078_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24795158-24795158_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24795158-24795158_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25315788-25315788_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
25315788-25315788_analysis_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
26000902-26000902_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26000902-26000902_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26040978-26040978_analysis_0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
26040978-26040978_analysis_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26040978-26040978_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26197051-26197051_analysis_0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
26481048-26481048_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26567160-26567160_analysis_1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
27458349-27458349_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27458349-27458349_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27622781-27622781_analysis_4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
27622781-27622781_analysis_5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
27889465-27889465_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27989775-27989775_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27989775-27989775_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28551067-28551067_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28905269-28905269_analysis_0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28905269-28905269_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29039129-29039129_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29039129-29039129_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29079809-29079809_analysis_0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
29079809-29079809_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29079809-29079809_analysis_2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
29221830-29221830_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29221830-29221830_analysis_5	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
29265483-29265483_analysis_0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0
29265483-29265483_analysis_1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
29265483-29265483_analysis_2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
29265483-29265483_analysis_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
29324862-29324862_analysis_3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
29324862-29324862_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29432769-29432769_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29582502-29582502_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29582502-29582502_analysis_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29582502-29582502_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29582502-29582502_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29582502-29582502_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29777673-29777673_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29813018-29813018_analysis_12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
29813018-29813018_analysis_13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
29813018-29813018_analysis_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30056560-30056560_analysis_0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
30056560-30056560_analysis_1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
30077577-30077577_analysis_0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
30300745-30300745_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30349467-30349467_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_1	1	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
30649548-30649548_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30806571-30806571_analysis_5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
30806571-30806571_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31056647-31056647_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31056647-31056647_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31056647-31056647_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31680152-31680152_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
