run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1-annotation-only-lc,,all_abstract,753,154,False
v2-annotation-only,,all_abstract,766,154,False
v3-all_pmids,,all_abstract,979,206,False
v3-all_pmids-multi_analysis,,all_abstract,942,206,False
v3-all_pmids-multi_analysis-ft,,all_abstract,974,206,False
v3-all_pmids-multi_analysis-ft-gpt52,,all_abstract,1005,206,False
v3-annotation-only,,all_abstract,744,154,False
v3-search-all_pmids,,all_abstract,2981,401,False
v3-search-all_pmids-multi_analysis,,all_abstract,3030,400,False
v3-search-all_pmids-multi_analysis-ft,,all_abstract,2936,401,False
v1-annotation-only,,all_analyses,742,154,False
v1-annotation-only-gpt5,,all_analyses,746,154,False
v1-annotation-only-lc,,all_analyses,753,154,False
v2,,all_analyses,1733,308,False
v2-all_pmids,,all_analyses,929,193,False
v2-annotation-only,,all_analyses,766,154,False
v3-all_pmids,,all_analyses,970,199,False
v3-all_pmids-multi_analysis,,all_analyses,930,197,False
v3-all_pmids-multi_analysis-ft,,all_analyses,958,196,False
v3-all_pmids-multi_analysis-ft-gpt52,,all_analyses,993,197,False
v3-annotation-only,,all_analyses,744,154,False
v3-search-all_pmids,,all_analyses,2853,327,False
v3-search-all_pmids-multi_analysis,,all_analyses,2906,328,False
v3-search-all_pmids-multi_analysis-ft,,all_analyses,2803,328,False
v1-annotation-only,,all_studies,742,154,False
v1-annotation-only-gpt5,,all_studies,746,154,False
v1-annotation-only-lc,,all_studies,753,154,False
v2-annotation-only,,all_studies,766,154,False
v3-all_pmids,,all_studies,1034,241,False
v3-all_pmids-multi_analysis,,all_studies,997,241,False
v3-all_pmids-multi_analysis-ft,,all_studies,1029,241,False
v3-all_pmids-multi_analysis-ft-gpt52,,all_studies,1060,241,False
v3-annotation-only,,all_studies,744,154,False
v3-search-all_pmids,,all_studies,3280,541,False
v3-search-all_pmids-multi_analysis,,all_studies,3329,540,False
v3-search-all_pmids-multi_analysis-ft,,all_studies,3235,541,False
