pmid,project,route,url,http,bytes,tables,paras,verdict,year,p_tables
11189943,executive_function,other,https://dx.doi.org/10.1007/s002590000351,200,3036,0,1,thin/landing only,2000,0.524
11241873,executive_function,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/11241873/,200,20356,0,0,blocked/paywall page,2001,0.524
11554517,executive_function,other,https://content.apa.org/journals/pag/16/3/371,200,1040,0,0,thin/landing only,2001,0.524
11571223,executive_function,other,https://academic.oup.com/brain/article-lookup/doi/10.1093/brain/124.10.2074,403,5791,0,0,http 403,2001,0.524
11697946,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(01)90893-6,200,2727,0,0,thin/landing only,2001,0.524
11707086,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(01)90923-1,200,2692,0,0,thin/landing only,2001,0.524
11713630,executive_function,other,https://dx.doi.org/10.1007/s002210100844,200,3036,0,1,thin/landing only,2001,0.524
11733725,executive_function,other,https://www.ovid.com/10.1097/00001756-200111160-00051,200,138990,0,1,thin/landing only,2001,0.524
11771973,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811901909681,200,2741,0,0,thin/landing only,2002,0.524
11848715,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811901910055,200,2730,0,0,thin/landing only,2002,0.524
11906228,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811901910250,200,2720,0,0,thin/landing only,2002,0.524
12126506,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/08989290260045882,403,5786,0,0,http 403,2002,0.524
12139955,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S0278262601915015,200,2702,0,0,thin/landing only,2002,0.524
12240737,executive_function,no-link,,,0,0,0,no publisher url,2002,0.524
12377154,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811902912103,200,2708,0,0,thin/landing only,2002,0.524
12414261,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811902911985,200,2734,0,0,thin/landing only,2002,0.524
12498755,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811902913261,200,2727,0,0,thin/landing only,2002,0.524
12631562,executive_function,other,https://academic.oup.com/cercor/article-lookup/doi/10.1093/cercor/13.4.329,403,5788,0,0,http 403,2003,0.524
12727696,executive_function,other,https://psychiatryonline.org/doi/10.1176/appi.ajp.160.5.919?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6136,0,0,http 403,2003,0.524
12946085,executive_function,no-link,,,0,0,0,no publisher url,2003,0.524
15056518,executive_function,other,https://psychiatryonline.org/doi/10.1176/appi.ajp.161.4.707?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6136,0,0,http 403,2004,0.524
15165351,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892904323057335,403,5789,0,0,http 403,2004,0.524
15200705,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892904970726,403,5780,0,0,http 403,2004,0.524
15309395,executive_function,other,https://dx.doi.org/10.1007/s00406-004-0488-z,200,3036,0,1,thin/landing only,2004,0.524
15541071,executive_function,other,https://onlinelibrary.wiley.com/resolve/openurl?genre=article&sid=nlm:pubmed&issn=1398-5647&date=2004&volume=6&issue=6&spage=550,403,6154,0,0,http 403,2004,0.524
15563726,executive_function,other,https://academic.oup.com/cercor/article-lookup/doi/10.1093/cercor/bhh207,403,5782,0,0,http 403,2005,0.634
15741464,executive_function,other,https://psychiatryonline.org/doi/10.1176/appi.ajp.162.3.475?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6136,0,0,http 403,2005,0.634
15841676,executive_function,no-link,,,0,0,0,no publisher url,2005,0.634
16199829,executive_function,other,https://psychiatryonline.org/doi/10.1176/appi.ajp.162.10.1833?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6142,0,0,http 403,2005,0.634
1679944,executive_function,other,https://royalsocietypublishing.org/rspb/article-lookup/doi/10.1098/rspb.1991.0077,403,5832,0,0,http 403,1991,0.197
17133387,executive_function,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/17133387/,200,20359,0,0,blocked/paywall page,2007,0.634
17214564,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/jocn.2007.19.1.69,403,5786,0,0,http 403,2007,0.634
17476364,executive_function,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/17476364/,200,20359,0,0,blocked/paywall page,2007,0.634
17483530,executive_function,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/17483530/,200,20358,0,0,blocked/paywall page,2008,0.634
17525987,executive_function,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/17525987/,200,20359,0,0,blocked/paywall page,2008,0.634
18363509,executive_function,other,https://journals.sagepub.com/doi/10.1089/neu.2007.0417?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6121,0,0,http 403,2008,0.634
18370596,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/jocn.2008.20122,403,5780,0,0,http 403,2008,0.634
18511955,executive_function,other,https://doi.org/10.55782/ane-2008-1688,200,27168,0,4,thin/landing only,2008,0.634
23968211,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/jocn.1997.9.4.462,403,5786,0,0,http 403,1997,0.37
23968463,executive_function,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/jocn.1989.1.2.153,403,5786,0,0,http 403,1989,0.197
24578040,executive_function,other,https://doi.org/10.1002/hbm.460010305,403,5745,0,0,http 403,1994,0.197
24591198,executive_function,other,https://doi.org/10.1002/hbm.460010407,403,5745,0,0,http 403,1994,0.197
3277066,executive_function,other,https://doi.org/10.1038/331585a0,200,270022,0,110,"HTML text, no tables",1988,0.197
7708745,executive_function,pmc,https://www.pnas.org/doi/10.1073/pnas.92.7.2899?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6095,0,0,http 403,1995,0.37
7846080,executive_function,pmc,https://www.pnas.org/doi/10.1073/pnas.92.3.925?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6092,0,0,http 403,1995,0.37
8232848,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/0028-3932(93)90147-R,200,2691,0,0,thin/landing only,1993,0.197
8410148,executive_function,other,https://journals.physiology.org/doi/10.1152/jn.1993.70.2.453?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6154,0,0,http 403,1993,0.197
8430101,executive_function,pmc,https://www.pnas.org/doi/10.1073/pnas.90.3.878?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6092,0,0,http 403,1993,0.197
8524452,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/0028-3932(95)00035-2,200,2754,0,0,thin/landing only,1995,0.37
8670634,executive_function,other,https://academic.oup.com/cercor/article-lookup/doi/10.1093/cercor/6.1.11,403,5782,0,0,http 403,1996,0.37
8822570,executive_function,other,https://journals.physiology.org/doi/10.1152/jn.1996.75.1.454?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6133,0,0,http 403,1996,0.37
8931588,executive_function,other,https://academic.oup.com/brain/article-lookup/doi/10.1093/brain/119.5.1667,403,5788,0,0,http 403,1996,0.37
9038284,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(96)90247-5,200,2695,0,0,thin/landing only,1997,0.37
9121583,executive_function,other,https://doi.org/10.1038/386604a0,200,275392,0,99,"HTML text, no tables",1997,0.37
9187292,executive_function,other,https://dx.doi.org/10.1007/pl00005665,200,3036,0,1,thin/landing only,1997,0.37
9223090,executive_function,other,https://www.ovid.com/10.1097/00001756-199705260-00038,200,151969,0,1,thin/landing only,1997,0.37
9299382,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(97)90285-8,200,2708,0,0,thin/landing only,1997,0.37
9305814,executive_function,other,https://dx.doi.org/10.1007/pl00005744,200,3036,0,1,thin/landing only,1997,0.37
9343594,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053811985710142,200,2706,0,0,thin/landing only,1995,0.37
9343611,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(85)71034-8,200,2731,0,0,thin/landing only,1995,0.37
9345478,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(96)90009-9,200,2675,0,0,thin/landing only,1996,0.37
9626670,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(98)90338-X,200,2702,0,0,thin/landing only,1998,0.37
9758739,executive_function,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(98)90360-3,200,2712,0,0,thin/landing only,1998,0.37
9863701,executive_function,other,https://academic.oup.com/cercor/article-lookup/doi/10.1093/cercor/8.8.743,403,5785,0,0,http 403,1998,0.37
10320379,problem_solving,other,https:///www.science.org/doi/10.1126/science.284.5416.970,,0,0,0,error InvalidURL,1999,0.37
10601743,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892999563689,403,5780,0,0,http 403,1999,0.37
10769309,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/08989290051137639,403,5786,0,0,http 403,2000,0.524
10790322,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S0010-0285(99)90726-0,200,2720,0,0,thin/landing only,2000,0.524
10903207,problem_solving,other,https:///www.science.org/doi/10.1126/science.289.5478.457,,0,0,0,error InvalidURL,2000,0.524
10931772,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892900562273,403,5780,0,0,http 403,2000,0.524
10988030,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(00)90613-X,200,2703,0,0,thin/landing only,2000,0.524
11026450,problem_solving,other,https://onlinelibrary.wiley.com/resolve/openurl?genre=article&sid=nlm:pubmed&issn=0364-5134&date=2000&volume=48&issue=4&spage=657,403,6157,0,0,http 403,2000,0.524
11034858,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(00)90636-0,200,2679,0,0,thin/landing only,2000,0.524
11034863,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(00)90640-2,200,2726,0,0,thin/landing only,2000,0.524
11050024,problem_solving,other,https://academic.oup.com/brain/article-lookup/doi/10.1093/brain/123.11.2240,403,5791,0,0,http 403,2000,0.524
11054915,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892900562525,403,5780,0,0,http 403,2000,0.524
11162272,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(00)90697-9,200,2678,0,0,thin/landing only,2001,0.524
11671913,problem_solving,other,https://pubs.acs.org/joceah/article-lookup/doi/10.1021/jo971062j,403,5766,0,0,http 403,1997,0.37
11697945,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(01)90922-X,200,2706,0,0,thin/landing only,2001,0.524
12061757,problem_solving,no-link,,,0,0,0,no publisher url,2002,0.524
12427681,problem_solving,other,https://academic.oup.com/cercor/article-lookup/doi/10.1093/cercor/12.12.1312,403,5794,0,0,http 403,2002,0.524
12722972,problem_solving,other,https://doi.org/10.1002/hipo.10069,403,5736,0,0,http 403,2003,0.524
12803967,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892903321662949,403,5789,0,0,http 403,2003,0.524
15098721,problem_solving,other,https://doi.org/10.1002/hipo.10189,403,5736,0,0,http 403,2004,0.524
15165354,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892904323057362,403,5789,0,0,http 403,2004,0.524
15505971,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S0010-9452(08)70157-6,200,2684,0,0,thin/landing only,2004,0.524
16010908,problem_solving,other,https://journals.sagepub.com/doi/10.1177/096973300100800106?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6136,0,0,http 403,2001,0.524
16417683,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892906775250030,403,5789,0,0,http 403,2006,0.634
16512999,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/089892906775990651,403,5789,0,0,http 403,2006,0.634
16952916,problem_solving,pmc,https://jnnp.bmj.com/lookup/pmidlookup?view=long&pmid=16952916,429,12355,0,1,http 429,2007,0.634
17381255,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/jocn.2007.19.4.642,403,5789,0,0,http 403,2007,0.634
18052787,problem_solving,other,https://direct.mit.edu/jocn/article-lookup/doi/10.1162/jocn.2008.20055,403,5780,0,0,http 403,2008,0.634
18240326,problem_solving,other,https://doi.org/10.1002/hipo.20411,403,5736,0,0,http 403,2008,0.634
18429245,problem_solving,other,https://doi.org/10.1002/0471140864.ps0517s30,403,5846,0,0,http 403,2003,0.524
18642473,problem_solving,no-link,,,0,0,0,no publisher url,2001,0.524
19003497,problem_solving,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/19003497/,200,20358,0,0,blocked/paywall page,2007,0.634
19406903,problem_solving,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/19406903/,200,20358,0,0,blocked/paywall page,2009,0.634
23448868,problem_solving,pmc,https://pmc.ncbi.nlm.nih.gov/articles/pmid/23448868/,200,20359,0,0,blocked/paywall page,2014,0.727
9175134,problem_solving,other,https://www.ovid.com/10.1097/00001756-199703240-00049,200,143181,0,1,thin/landing only,1997,0.37
9665648,problem_solving,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S0028-3932(97)00099-7,200,2683,0,0,thin/landing only,1998,0.37
11352615,social,elsevier,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(01)90769-4,200,2730,0,0,thin/landing only,2001,0.524
16838824,vbm_of_ptsd,other,https://journals.sagepub.com/doi/10.1177/070674370605100704?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6136,0,0,http 403,2006,0.634
15982446,vbm_of_substance_use,other,https://academic.oup.com/ijnp/article-lookup/doi/10.1017/S1461145705005699,403,5788,0,0,http 403,2006,0.634
18187528,vbm_of_substance_use,other,https://journals.sagepub.com/doi/10.1177/0269881107080795?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6130,0,0,http 403,2008,0.634
25385625,vbm_of_substance_use,pmc,https://www.pnas.org/doi/10.1073/pnas.1415297111?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub  0pubmed,403,6098,0,0,http 403,2014,0.727
