project,manual_annotation,strategy,query,neuroquery_r2,neurovlm_r2
decision_making,perceptual_dm_july2019,plus_modality,perceptual decision making fmri activation,0.100443,0.325418
decision_making,rdm_july2019,preregistered,risky decision making,0.058503,0.183374
decision_making,rdm_july2019,column_name,risky decision making,0.058503,0.183374
decision_making,rdm_july2019,project+column,decision making risky decision making,0.060571,0.201163
decision_making,rdm_july2019,head_term,decision making,0.053279,0.179121
decision_making,rdm_july2019,plus_modality,risky decision making fmri activation,0.026893,0.237018
dementia,all,preregistered,dementia,0.012039,0.176417
dementia,all,column_name,dementia all,0.012039,0.188286
dementia,all,project+column,dementia dementia all,0.012039,0.167167
dementia,all,head_term,dementia,0.012039,0.176417
dementia,all,plus_modality,dementia fmri activation,0.007761,0.204584
dementia,decrease,preregistered,decreased brain activity in dementia,0.015532,0.126049
dementia,decrease,column_name,dementia decreasing activity,0.012294,0.130106
dementia,decrease,project+column,dementia dementia decreasing activity,0.013207,0.111878
dementia,decrease,head_term,in dementia,0.014108,0.147282
dementia,decrease,plus_modality,decreased brain activity in dementia fmri activation,0.01122,0.157502
dementia,functional,preregistered,functional activation in dementia,0.001517,0.143206
dementia,functional,column_name,functional,0.0361,0.041231
dementia,functional,project+column,dementia functional,0.003292,0.12648
dementia,functional,head_term,in dementia,0.006382,0.133978
dementia,functional,plus_modality,functional activation in dementia fmri activation,0.00038,0.145951
dementia,structural,preregistered,gray matter atrophy in dementia,0.024232,0.170513
dementia,structural,column_name,structural,0.009685,0.111251
dementia,structural,project+column,dementia structural,0.01417,0.20533
dementia,structural,head_term,in dementia,0.010478,0.180673
dementia,structural,plus_modality,gray matter atrophy in dementia fmri activation,0.022358,0.196022
emotion_regulation_2022,decrease,preregistered,decreasing negative emotion,0.001981,0.073522
emotion_regulation_2022,decrease,column_name,decrease,0.0,0.060123
emotion_regulation_2022,decrease,project+column,emotion regulation decrease,0.032932,0.090144
emotion_regulation_2022,decrease,head_term,negative emotion,0.001981,0.049196
emotion_regulation_2022,decrease,plus_modality,decreasing negative emotion fmri activation,0.000197,0.126674
emotion_regulation_2022,increase,preregistered,increasing emotional response,0.002184,0.082818
emotion_regulation_2022,increase,column_name,increase,0.0,0.069574
emotion_regulation_2022,increase,project+column,emotion regulation increase,0.012928,0.112998
emotion_regulation_2022,increase,head_term,emotional response,0.002184,0.118335
emotion_regulation_2022,increase,plus_modality,increasing emotional response fmri activation,0.002093,0.119705
emotion_regulation_2022,maintain,preregistered,maintaining emotional response,0.00168,0.199528
emotion_regulation_2022,maintain,column_name,maintain,0.0,0.140511
emotion_regulation_2022,maintain,project+column,emotion regulation maintain,0.029085,0.199329
emotion_regulation_2022,maintain,head_term,emotional response,0.20367,0.269635
emotion_regulation_2022,maintain,plus_modality,maintaining emotional response fmri activation,0.002279,0.19855
emotion_regulation_2022,reappraisal,preregistered,cognitive reappraisal,0.057131,0.181944
emotion_regulation_2022,reappraisal,column_name,reappraisal,0.065367,0.072268
emotion_regulation_2022,reappraisal,project+column,emotion regulation reappraisal,0.048262,0.123497
emotion_regulation_2022,reappraisal,head_term,cognitive reappraisal,0.057131,0.181944
emotion_regulation_2022,reappraisal,plus_modality,cognitive reappraisal fmri activation,0.020302,0.259754
executive_function,all,preregistered,executive function,0.308021,0.335348
executive_function,all,column_name,pooled executive function,0.308021,0.312054
executive_function,all,project+column,executive function pooled executive function,0.308021,0.382264
executive_function,all,head_term,executive function,0.308021,0.335348
executive_function,all,plus_modality,executive function fmri activation,0.290383,0.461338
executive_function,flexibility,preregistered,cognitive flexibility task switching,0.094802,0.343091
executive_function,flexibility,column_name,cognitive flexibility,0.039445,0.325923
executive_function,flexibility,project+column,executive function cognitive flexibility,0.068806,0.275733
executive_function,flexibility,head_term,task switching,0.130667,0.292998
executive_function,flexibility,plus_modality,cognitive flexibility task switching fmri activation,0.101305,0.320202
executive_function,inhibition,preregistered,response inhibition,0.18457,0.300215
executive_function,inhibition,column_name,inhibition,0.031337,0.164112
executive_function,inhibition,project+column,executive function inhibition,0.108912,0.390788
executive_function,inhibition,head_term,response inhibition,0.18457,0.300215
executive_function,inhibition,plus_modality,response inhibition fmri activation,0.169994,0.41594
executive_function,working_memory,preregistered,working memory,0.277768,0.394563
executive_function,working_memory,column_name,working memory,0.277768,0.394563
executive_function,working_memory,project+column,executive function working memory,0.281721,0.471176
executive_function,working_memory,head_term,working memory,0.277768,0.394563
executive_function,working_memory,plus_modality,working memory fmri activation,0.279216,0.422025
problem_solving,calculation_mni_final,preregistered,mental arithmetic calculation,0.239955,0.352006
problem_solving,calculation_mni_final,column_name,mathematical problem solving,0.255643,0.053628
problem_solving,calculation_mni_final,project+column,problem solving mathematical problem solving,0.244505,0.073432
problem_solving,calculation_mni_final,head_term,arithmetic calculation,0.23574,0.277643
problem_solving,calculation_mni_final,plus_modality,mental arithmetic calculation fmri activation,0.244159,0.434908
problem_solving,demand_mni_final,preregistered,logical reasoning,0.130312,0.300904
problem_solving,demand_mni_final,column_name,logical reasoning,0.130312,0.300904
problem_solving,demand_mni_final,project+column,problem solving logical reasoning,0.231822,0.339561
problem_solving,demand_mni_final,head_term,logical reasoning,0.130312,0.300904
problem_solving,demand_mni_final,plus_modality,logical reasoning fmri activation,0.1364,0.411574
problem_solving,global_calculationandvisuospatialandword_mni_final,preregistered,problem solving reasoning,0.256231,0.377871
problem_solving,global_calculationandvisuospatialandword_mni_final,column_name,domain general problem solving,0.220683,0.218291
problem_solving,global_calculationandvisuospatialandword_mni_final,project+column,problem solving domain general problem solving,0.278148,0.236113
problem_solving,global_calculationandvisuospatialandword_mni_final,head_term,solving reasoning,0.269809,0.361416
problem_solving,global_calculationandvisuospatialandword_mni_final,plus_modality,problem solving reasoning fmri activation,0.274855,0.506865
problem_solving,visuospatialreasoning_mni_final,preregistered,visuospatial reasoning,0.155713,0.298776
problem_solving,visuospatialreasoning_mni_final,column_name,visuospatial problem solving,0.161803,0.315175
problem_solving,visuospatialreasoning_mni_final,project+column,problem solving visuospatial problem solving,0.16394,0.349635
problem_solving,visuospatialreasoning_mni_final,head_term,visuospatial reasoning,0.155713,0.298776
problem_solving,visuospatialreasoning_mni_final,plus_modality,visuospatial reasoning fmri activation,0.152976,0.382185
problem_solving,wordproblems_mni_final,preregistered,verbal problem solving,0.139376,0.337784
problem_solving,wordproblems_mni_final,column_name,verbal problem solving,0.139376,0.337784
problem_solving,wordproblems_mni_final,project+column,problem solving verbal problem solving,0.135468,0.389996
problem_solving,wordproblems_mni_final,head_term,problem solving,0.105577,0.199572
problem_solving,wordproblems_mni_final,plus_modality,verbal problem solving fmri activation,0.14186,0.420595
social,affiliation_merged,preregistered,attachment and affiliation,0.053951,0.230838
social,affiliation_merged,column_name,affiliation attachment,0.053951,0.244663
social,affiliation_merged,project+column,social affiliation attachment,0.051283,0.21958
social,affiliation_merged,head_term,and affiliation,0.0,0.240419
social,affiliation_merged,plus_modality,attachment and affiliation fmri activation,0.026598,0.317139
social,all_merged,preregistered,social cognition,0.066712,0.397367
social,all_merged,column_name,social processing all,0.034355,0.459091
social,all_merged,project+column,social social processing all,0.037357,0.458755
social,all_merged,head_term,social cognition,0.066712,0.397367
social,all_merged,plus_modality,social cognition fmri activation,0.050465,0.47179
social,others_merged,preregistered,person perception of others,0.029202,0.284497
social,others_merged,column_name,perception of others,0.014012,0.286395
social,others_merged,project+column,social perception of others,0.045394,0.315956
social,others_merged,head_term,of others,0.0,0.282458
social,others_merged,plus_modality,person perception of others fmri activation,0.022295,0.402957
social,self_merged,preregistered,self referential processing,0.024018,0.312359
social,self_merged,column_name,perception of self,0.000138,0.251607
social,self_merged,project+column,social perception of self,0.007891,0.272494
social,self_merged,head_term,referential processing,0.022653,0.270279
social,self_merged,plus_modality,self referential processing fmri activation,0.022448,0.32662
social,soccomm_merged,preregistered,social communication,0.029632,0.262681
social,soccomm_merged,column_name,social communication,0.029632,0.262681
social,soccomm_merged,project+column,social social communication,0.032173,0.270784
social,soccomm_merged,head_term,social communication,0.029632,0.262681
social,soccomm_merged,plus_modality,social communication fmri activation,0.034673,0.420264
vbm_of_ptsd,nonptsdgtptsd_merged,preregistered,posttraumatic stress disorder gray matter,0.021895,0.146834
vbm_of_ptsd,nonptsdgtptsd_merged,column_name,decreased gm,0.00447,0.154583
vbm_of_ptsd,nonptsdgtptsd_merged,project+column,vbm ptsd decreased gm,0.011536,0.243623
vbm_of_ptsd,nonptsdgtptsd_merged,head_term,gray matter,0.017845,0.088682
vbm_of_ptsd,nonptsdgtptsd_merged,plus_modality,posttraumatic stress disorder gray matter fmri activation,0.01963,0.182208
vbm_of_substance_use,alcohol,preregistered,alcohol dependence gray matter,0.001516,0.087373
vbm_of_substance_use,alcohol,column_name,alcohol,0.009643,0.108401
vbm_of_substance_use,alcohol,project+column,vbm substance use alcohol,0.000277,0.148318
vbm_of_substance_use,alcohol,head_term,gray matter,0.00119,0.058055
vbm_of_substance_use,alcohol,plus_modality,alcohol dependence gray matter fmri activation,0.001874,0.184232
vbm_of_substance_use,all_drug_classes,preregistered,substance use disorder gray matter,0.018447,0.135563
vbm_of_substance_use,all_drug_classes,column_name,all drug classes,0.037169,0.196659
vbm_of_substance_use,all_drug_classes,project+column,vbm substance use all drug classes,0.006979,0.262266
vbm_of_substance_use,all_drug_classes,head_term,gray matter,0.013323,0.079721
vbm_of_substance_use,all_drug_classes,plus_modality,substance use disorder gray matter fmri activation,0.018342,0.226502
vbm_of_substance_use,nicotine,preregistered,nicotine smoking gray matter,0.010777,0.123182
vbm_of_substance_use,nicotine,column_name,nicotine,0.044504,0.108633
vbm_of_substance_use,nicotine,project+column,vbm substance use nicotine,0.009883,0.121695
vbm_of_substance_use,nicotine,head_term,gray matter,0.005147,0.101979
vbm_of_substance_use,nicotine,plus_modality,nicotine smoking gray matter fmri activation,0.010386,0.123047
