match_key,canonical_label,mentions,n_variants,variants
c9orf72 expansion hexanucleotide repeat,C9orf72 hexanucleotide repeat expansion,6,2,C9orf72 hexanucleotide repeat expansion | C9ORF72 hexanucleotide repeat expansion
autism disorder spectrum,autism spectrum disorder,6,2,autism spectrum disorder | Autism spectrum disorder
comparison healthy statu,Healthy comparison status,6,1,Healthy comparison status
c9orf72 mutation,C9orf72 mutation,6,2,C9orf72 mutation | C9ORF72 mutation
disorder neurological no or psychiatric,No neurological or psychiatric disorder,6,3,No neurological or psychiatric disorder | No neurological or psychiatric disorders | No psychiatric or neurological disorder
disorder nicotine use,nicotine use disorder,5,2,nicotine use disorder | Nicotine use disorder
alcohol current dependence,Current alcohol dependence,5,3,Current alcohol dependence | Current Alcohol Dependence | current alcohol dependence
healthy individual,Healthy individuals,5,2,Healthy individuals | healthy individuals
normal weight,normal weight,5,3,normal weight | Normal weight | normal-weight
binge disorder eating,binge eating disorder,5,3,binge eating disorder | Binge eating disorder | binge-eating disorder
disorder substance use,substance use disorder,5,3,substance use disorder | substance-use disorder | Substance use disorders
disorder history neurological no or psychiatric,no history of neurological or psychiatric disorders,5,2,no history of neurological or psychiatric disorders | no history of psychiatric or neurological disorder
gambling pathological,pathological gambling,5,2,pathological gambling | Pathological gambling
developmental disorder neurologic no or psychiatric,"No developmental, neurologic, or psychiatric disorders",5,1,"No developmental, neurologic, or psychiatric disorders"
grn mutation,GRN mutation,5,1,GRN mutation
dementia frontal frontotemporal variant,frontal variant of frontotemporal dementia,5,2,"frontal variant of frontotemporal dementia | frontotemporal dementia, frontal variant"
atrophy cortical posterior,posterior cortical atrophy,5,2,posterior cortical atrophy | Posterior cortical atrophy
disease history neurological no or psychiatric,No history of psychiatric or neurological disease,5,2,No history of psychiatric or neurological disease | no history of psychiatric or neurological disease
amyotrophic dementia frontotemporal lateral sclerosi,Amyotrophic lateral sclerosis-frontotemporal dementia,5,4,Amyotrophic lateral sclerosis-frontotemporal dementia | amyotrophic lateral sclerosis with frontotemporal dementia | frontotemporal dementia-amyotrophic lateral sclerosis | amyotrophic lateral sclerosis-frontotemporal dementia
grn mutation thr272f,GRN Thr272fs mutation,5,1,GRN Thr272fs mutation
agrammatic aphasia nonfluent primary progressive variant,nonfluent/agrammatic variant primary progressive aphasia,5,2,nonfluent/agrammatic variant primary progressive aphasia | Nonfluent/agrammatic variant of primary progressive aphasia
agoraphobia,agoraphobia,5,1,agoraphobia
abuse cocaine dependence or,cocaine dependence or abuse,4,2,cocaine dependence or abuse | cocaine abuse or dependence
cocaine exposure prenatal,prenatal cocaine exposure,4,1,prenatal cocaine exposure
dependence tobacco,tobacco dependence,4,1,tobacco dependence
obesity overweight,overweight/obesity,4,2,overweight/obesity | Overweight/obesity
current smoking,current smoking,4,1,current smoking
morbid obesity,morbid obesity,4,1,morbid obesity
disorder schizophreniform,schizophreniform disorder,4,1,schizophreniform disorder
healthy nonsmoker,Healthy nonsmoker,4,3,Healthy nonsmoker | Healthy nonsmokers | healthy nonsmokers
bulimia nervosa,bulimia nervosa,4,1,bulimia nervosa
disorder neurological no or psychiatric reported,No reported psychiatric or neurological disorders,4,3,No reported psychiatric or neurological disorders | No psychiatric or neurological disorders reported | No psychiatric or neurological disorder reported
depression unipolar,unipolar depression,4,1,unipolar depression
overweight,overweight,4,2,overweight | Overweight
disease neurological no or psychiatric,No neurological or psychiatric disease,4,2,No neurological or psychiatric disease | No psychiatric or neurological disease
alcohol statu use,alcohol use status,4,1,alcohol use status
disorder schizophrenia spectrum,Schizophrenia-spectrum disorder,4,1,Schizophrenia-spectrum disorder
dependence marijuana,marijuana dependence,4,1,marijuana dependence
cognition normal,normal cognition,4,2,normal cognition | Normal cognition
alzheimer disease mild,mild Alzheimer's disease,4,2,mild Alzheimer's disease | Mild Alzheimer's disease
dementia frontotemporal temporal variant,temporal variant frontotemporal dementia,4,2,"temporal variant frontotemporal dementia | frontotemporal dementia, temporal variant"
amnestic cognitive impairment mild,amnestic mild cognitive impairment,4,1,amnestic mild cognitive impairment
behavioral degeneration frontotemporal variant,behavioral variant frontotemporal degeneration,4,2,behavioral variant frontotemporal degeneration | behavioural-variant frontotemporal degeneration
body dementia lewy,Lewy body dementia,4,1,Lewy body dementia
cognitive impairment subjective,subjective cognitive impairment,4,2,subjective cognitive impairment | Subjective cognitive impairment
alzheimer dementia disease,Alzheimer disease dementia,4,3,Alzheimer disease dementia | Alzheimer's disease dementia | Alzheimer’s disease dementia
complaint memory subjective,subjective memory complaints,4,2,subjective memory complaints | Subjective memory complaints
dementia frontotemporal genetic,genetic frontotemporal dementia,4,1,genetic frontotemporal dementia
mapt mutation,MAPT mutation,4,2,MAPT mutation | MAPT mutations
cognitive decline subjective,subjective cognitive decline,4,1,subjective cognitive decline
developing typically,typically developing,4,2,typically developing | Typically developing
depressive episode major,major depressive episode,4,2,major depressive episode | Major depressive episode
disorder eating,eating disorder,4,2,eating disorder | eating disorders
conduct disorder,conduct disorder,4,2,conduct disorder | conduct disorder (CD)
disorder healthy neurological or psychiatric without,healthy participants without psychiatric or neurological disorder,4,3,healthy participants without psychiatric or neurological disorder | Healthy participants without neurological or psychiatric disorders | Healthy participants without neurological or psychiatric disorder
axi current disorder i lifetime no or psychiatric,No current or lifetime Axis I psychiatric disorder,4,2,No current or lifetime Axis I psychiatric disorder | no current or lifetime Axis I psychiatric disorder
current disorder no or past psychiatric,No current or past psychiatric disorder,4,3,No current or past psychiatric disorder | No current or past psychiatric disorders | no past or current psychiatric disorders
hiv seronegative,HIV-seronegative,4,1,HIV-seronegative
amphetamine stimulant use,amphetamine-type stimulant use,4,2,amphetamine-type stimulant use | Amphetamine-type stimulant use
ovary polycystic syndrome,Polycystic ovary syndrome,3,1,Polycystic ovary syndrome
cigarette dependence smoking,cigarette smoking dependence,3,1,cigarette smoking dependence
addiction alcohol,alcohol addiction,3,2,alcohol addiction | Alcohol addiction
axi disorder i no psychiatric,No Axis I psychiatric disorder,3,2,No Axis I psychiatric disorder | no axis-I psychiatric disorder
smoker,smokers,3,2,smokers | smoker
chronic dieting,chronic dieting,3,1,chronic dieting
alcohol heavy use,heavy alcohol use,3,1,heavy alcohol use
non smoking statu,non-smoking status,3,2,non-smoking status | Non-smoking status
cigarette dependence nicotine smoking,nicotine dependence / cigarette smoking,3,1,nicotine dependence / cigarette smoking
dependence heavy nicotine or smoking,Nicotine dependence or heavy smoking,3,1,Nicotine dependence or heavy smoking
alcohol use,alcohol use,3,1,alcohol use
behavior compulsive sexual,compulsive sexual behaviour,3,2,compulsive sexual behaviour | compulsive sexual behaviors
disorder gaming internet,Internet gaming disorder,3,2,Internet gaming disorder | internet gaming disorder
childhood exposure trauma,childhood trauma exposure,3,1,childhood trauma exposure
adolescent healthy,Healthy adolescents,3,1,Healthy adolescents
1 ftld tdp,FTLD-TDP type 1,3,1,FTLD-TDP type 1
neurological no or psychiatric,No psychiatric or neurological condition,3,2,No psychiatric or neurological condition | No neurological or psychiatric diagnosis
disease pick,Pick's disease,3,2,Pick's disease | Pick disease
als dementia frontotemporal,ALS-FTD,3,1,ALS-FTD
dementia fronto temporal,fronto-temporal dementia,3,1,fronto-temporal dementia
agrammatic aphasia fluent non primary progressive variant,non-fluent/agrammatic variant primary progressive aphasia,3,1,non-fluent/agrammatic variant primary progressive aphasia
disorder personality,Personality disorder,3,2,Personality disorder | personality disorder
body disease lewy,Lewy-Body disease,3,2,Lewy-Body disease | Lewy body disease
amyotrophic lateral sclerosi sporadic,sporadic amyotrophic lateral sclerosis,3,1,sporadic amyotrophic lateral sclerosis
cognitively healthy,Cognitively healthy,3,2,Cognitively healthy | cognitively healthy
dementia other,other dementias,3,1,other dementias
associated carrier degeneration familial frontotemporal lobar mutation statu,familial frontotemporal lobar degeneration-associated mutation carrier status,3,1,familial frontotemporal lobar degeneration-associated mutation carrier status
control healthy none reported,none reported; healthy control,3,3,none reported; healthy control | none reported; healthy controls | none reported; healthy control group
degeneration frontal frontotemporal lobar variant,frontal variant of frontotemporal lobar degeneration,3,1,frontal variant of frontotemporal lobar degeneration
carrier degeneration familial frontotemporal lobar mutation,familial frontotemporal lobar degeneration mutation carrier,3,1,familial frontotemporal lobar degeneration mutation carrier
dementia disease frontotemporal motor neuron,Frontotemporal dementia-motor neuron disease,3,2,Frontotemporal dementia-motor neuron disease | Frontotemporal dementia with motor neuron disease
apathy,apathy,3,1,apathy
dementia no,No dementia,3,1,No dementia
alzheimer dementia,Alzheimer's dementia,3,3,Alzheimer's dementia | Alzheimer dementia | Alzheimer’s dementia
avoidant disorder personality,avoidant personality disorder,3,1,avoidant personality disorder
disorder paranoid personality,paranoid personality disorder,3,1,paranoid personality disorder
defiant disorder oppositional,oppositional defiant disorder,3,2,oppositional defiant disorder | oppositional defiant disorder (ODD)
axi disorder dsm i iv no,No DSM-IV Axis I disorder,3,1,No DSM-IV Axis I disorder
compulsive disorder obsessive personality,obsessive–compulsive personality disorder,3,2,obsessive–compulsive personality disorder | obsessive compulsive personality disorder
history illness neurological no or psychological,no history of neurological or psychological illness,3,1,no history of neurological or psychological illness
disorder or schizoaffective schizophrenia,schizophrenia or schizoaffective disorder,3,1,schizophrenia or schizoaffective disorder
depressive disorder major onset preschool,preschool-onset major depressive disorder (PO-MDD),3,3,preschool-onset major depressive disorder (PO-MDD) | preschool-onset major depressive disorder | Preschool-onset major depressive disorder
agoraphobia disorder panic,panic disorder with agoraphobia,3,1,panic disorder with agoraphobia
healthy none,none; healthy subjects,3,2,none; healthy subjects | None; healthy participants
comparison healthy,Healthy comparison subjects,3,2,Healthy comparison subjects | healthy comparison participants
disorder history learning neurological no or psychiatric,"no history of psychiatric, neurological, or learning disorders",3,1,"no history of psychiatric, neurological, or learning disorders"
anxiety disorder separation,Separation Anxiety Disorder,3,2,Separation Anxiety Disorder | separation anxiety disorder
childhood history poverty,history of childhood poverty,3,1,history of childhood poverty
c cluster disorder personality,cluster C personality disorder,3,2,cluster C personality disorder | Cluster-C personality disorder
clinical healthy non population,"Healthy, non-clinical population",3,1,"Healthy, non-clinical population"
disorder major no psychiatric,No major psychiatric disorders,3,1,No major psychiatric disorders
abuse marijuana,marijuana abuse,3,2,marijuana abuse | Marijuana abuse
brain injury mild traumatic,mild traumatic brain injury,3,1,mild traumatic brain injury
combat disorder posttraumatic stress,combat-related PTSD,3,1,combat-related PTSD
chronic disorder posttraumatic stress,chronic PTSD,3,2,chronic PTSD | chronic posttraumatic stress disorder
disorder exposure posttraumatic stress trauma without,trauma exposure without PTSD,3,2,trauma exposure without PTSD | Trauma exposure without PTSD
methamphetamine use,methamphetamine use,3,1,methamphetamine use
active alcohol drinking heavy,active heavy alcohol drinking,3,1,active heavy alcohol drinking
dependence substance,substance dependence,3,1,substance dependence
alcohol exposure heavy prenatal,heavy prenatal alcohol exposure,3,1,heavy prenatal alcohol exposure
abuse dependence marijuana or,marijuana abuse or dependence,2,2,marijuana abuse or dependence | Marijuana abuse or dependence
cannabi chronic use,Chronic cannabis use,2,2,Chronic cannabis use | chronic cannabis use
dependence stimulant,stimulant dependence,2,1,stimulant dependence
healthy none reported volunteer,none reported; healthy volunteers,2,1,none reported; healthy volunteers
marijuana regular use,regular marijuana use,2,1,regular marijuana use
hypersexuality,hypersexuality,2,1,hypersexuality
cannabi regular use,regular cannabis use,2,1,regular cannabis use
disorder tobacco use,tobacco use disorder,2,1,tobacco use disorder
behavior chronic cigarette smoking,chronic cigarette smoking behavior,2,1,chronic cigarette smoking behavior
abuse dependence heroin or,Heroin abuse or dependence,2,2,Heroin abuse or dependence | heroin abuse or dependence
dietary restraint,dietary restraint,2,1,dietary restraint
deprivation nicotine,nicotine deprivation,2,1,nicotine deprivation
dependence nicotine smoking,nicotine dependence / smoking,2,2,nicotine dependence / smoking | nicotine dependence/smoking
never smoker,never smoker,2,2,never smoker | never-smokers
chronic hepatiti viral,chronic viral hepatitis,2,1,chronic viral hepatitis
hiv,HIV,2,1,HIV
dependency nicotine,nicotine dependency,2,1,nicotine dependency
alcohol dependence no,no alcohol dependence,2,1,no alcohol dependence
control disorder healthy neurological no or psychiatric reported,No reported psychiatric or neurological disorder; healthy controls,2,1,No reported psychiatric or neurological disorder; healthy controls
absence alcohol axi dependence disorder i other,absence of alcohol dependence and other axis-I disorders,2,1,absence of alcohol dependence and other axis-I disorders
disease free medical none psychiatric reported significant,none reported; free of significant medical and psychiatric disease,2,1,none reported; free of significant medical and psychiatric disease
cigarette current smoking,current cigarette smoking,2,2,current cigarette smoking | Current cigarette smoking
addiction heroin,heroin addiction,2,1,heroin addiction
disorder lifetime no psychiatric,No lifetime psychiatric disorder,2,1,No lifetime psychiatric disorder
disorder no substance use,no substance use disorder,2,2,no substance use disorder | no diagnosis of substance use disorders
depressive symptom,Depressive symptoms,2,2,Depressive symptoms | depressive symptoms
axi disorder i ii no or psychiatric,No axis I or II psychiatric disorder,2,2,No axis I or II psychiatric disorder | No axis I or axis II psychiatric disorder
cocaine dependence disorder,cocaine dependence disorder,2,1,cocaine dependence disorder
developing healthy typically,"Healthy, typically developing",2,1,"Healthy, typically developing"
episode first psychosi,first-episode psychosis,2,1,first-episode psychosis
dependence dsm heroin iv,DSM-IV heroin dependence,2,1,DSM-IV heroin dependence
tobacco use,tobacco use,2,1,tobacco use
excess weight,Excess weight,2,2,Excess weight | excess weight
absence alcohol dependence,absence of alcohol dependence,2,1,absence of alcohol dependence
cocaine regular use,regular cocaine use,2,1,regular cocaine use
disorder methamphetamine use,methamphetamine use disorder,2,1,methamphetamine use disorder
disorder marijuana use,marijuana use disorder,2,2,marijuana use disorder | Marijuana use disorder
disorder opioid use,opioid use disorder,2,1,opioid use disorder
disorder hypersexual,Hypersexual Disorder,2,2,Hypersexual Disorder | hypersexual disorder
cannabi current dependence,Current cannabis dependence,2,2,Current cannabis dependence | current cannabis dependence
alcohol level use,alcohol use level,2,1,alcohol use level
never smoker statu,never-smoker status,2,1,never-smoker status
heterosexual,heterosexual,2,1,heterosexual
single,single,2,1,single
alcohol disorder family history negative use,family history negative for alcohol use disorders,2,1,family history negative for alcohol use disorders
alcohol disorder family history positive use,family history positive for alcohol use disorders,2,1,family history positive for alcohol use disorders
dependence nicotine some,Nicotine dependence in some participants,2,1,Nicotine dependence in some participants
disease no psychiatric,No psychiatric disease,2,2,No psychiatric disease | no psychiatric diseases
control eating loss,loss of control eating,2,1,loss of control eating
addiction game healthy internet video without,Healthy participants without Internet video game addiction,2,1,Healthy participants without Internet video game addiction
no regular tobacco use,No regular tobacco use,2,1,No regular tobacco use
alcohol axi current disorder i no nondependent or past use,Nondependent alcohol use; no current or past Axis I disorder,2,1,Nondependent alcohol use; no current or past Axis I disorder
abuse drug history no,no history of drug abuse,2,1,no history of drug abuse
1 43 degeneration frontotemporal immunoreactive inclusion lobar tdp,"Frontotemporal lobar degeneration with TDP-43 immunoreactive inclusions, type 1",2,1,"Frontotemporal lobar degeneration with TDP-43 immunoreactive inclusions, type 1"
3 ftld tdp,FTLD-TDP type 3,2,1,FTLD-TDP type 3
cognitively control healthy normal,Healthy cognitively normal control subjects,2,2,Healthy cognitively normal control subjects | Cognitively normal healthy controls
als,ALS,2,1,ALS
healthy neurologically,neurologically healthy,2,1,neurologically healthy
agrammatic aphasia nonfluent primary progressive,nonfluent/agrammatic primary progressive aphasia,2,1,nonfluent/agrammatic primary progressive aphasia
alzheimer disease sporadic,sporadic Alzheimer's disease,2,1,sporadic Alzheimer's disease
behavioral dementia frontotemporal suspected variant,suspected behavioral variant of frontotemporal dementia,2,2,suspected behavioral variant of frontotemporal dementia | Suspected behavioral-variant frontotemporal dementia
dementia frontotemporal phenocopy,phenocopy frontotemporal dementia,2,1,phenocopy frontotemporal dementia
disorder primary psychiatric,Primary psychiatric disorder,2,2,Primary psychiatric disorder | Primary psychiatric disorders
current disorder neurological no or previou psychiatric,No current or previous neurological or psychiatric disorder,2,2,No current or previous neurological or psychiatric disorder | No current or previous neurological or psychiatric disorders
alzheimer cognitive disease due impairment mild to,MCI due to AD,2,2,MCI due to AD | Mild cognitive impairment due to Alzheimer disease
alzheimer dementia disease due to,dementia due to AD,2,2,dementia due to AD | Dementia due to Alzheimer disease
degeneration frontotemporal inclusion lobar positive ubiquitin,frontotemporal lobar degeneration with ubiquitin-positive inclusions (FTLD-U),2,1,frontotemporal lobar degeneration with ubiquitin-positive inclusions (FTLD-U)
elderly healthy,Healthy elderly,2,1,Healthy elderly
aphasia logopenic,Logopenic aphasia,2,2,Logopenic aphasia | logopenic aphasia
degeneration frontotemporal lobe,frontotemporal lobe degeneration,2,1,frontotemporal lobe degeneration
disease neurodegenerative,neurodegenerative diseases,2,1,neurodegenerative diseases
behavioral dementia fronto temporal variant,behavioral variant of fronto-temporal dementia,2,2,behavioral variant of fronto-temporal dementia | behavioral variant fronto-temporal dementia
adult healthy neurologically older,Neurologically healthy older adults,2,1,Neurologically healthy older adults
behavioral dementia frontotemporal sporadic variant,sporadic behavioural-variant frontotemporal dementia,2,2,sporadic behavioural-variant frontotemporal dementia | sporadic behavioural variant frontotemporal dementia
behavioral degeneration frontotemporal lobar variant,behavioral variant frontotemporal lobar degeneration,2,1,behavioral variant frontotemporal lobar degeneration
a53t associated p parkinsonism snca,p.A53T SNCA-associated parkinsonism,2,1,p.A53T SNCA-associated parkinsonism
dysfunction executive,executive dysfunction,2,1,executive dysfunction
myoclonu,myoclonus,2,1,myoclonus
disease neurological no,No neurological disease,2,1,No neurological disease
aging healthy,Healthy aging,2,1,Healthy aging
cognitive impairment,Cognitive impairment,2,1,Cognitive impairment
dementia unclassifiable,unclassifiable dementia,2,1,unclassifiable dementia
fronto insular stroke,fronto-insular stroke,2,2,fronto-insular stroke | Fronto-insular stroke
alzheimer disease typical,typical Alzheimer's disease,2,2,typical Alzheimer's disease | Typical Alzheimer’s disease
degeneration familial frontotemporal lobar,familial frontotemporal lobar degeneration,2,1,familial frontotemporal lobar degeneration
