id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9
16035037-16035037_analysis_2	0	3	0	0	0	0	0	0	0
16035037-16035037_analysis_3	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_4	0	2	1	0	0	0	0	0	0
16055351-16055351_analysis_0	0	4	0	0	0	0	0	0	0
16055351-16055351_analysis_1	0	1	0	0	0	0	0	0	0
16055351-16055351_analysis_2	1	3	0	0	0	0	0	0	0
16055351-16055351_analysis_3	0	4	1	0	0	0	0	0	0
16055351-16055351_analysis_4	1	1	0	0	0	0	0	0	0
16055351-16055351_analysis_5	0	1	0	0	0	0	0	0	0
16055351-16055351_analysis_6	1	2	2	0	0	0	0	0	0
16115783-16115783_analysis_0	1	20	2	0	0	0	0	0	0
16115783-16115783_analysis_1	0	2	0	0	0	0	0	0	0
16122944-16122944_analysis_0	1	2	0	0	0	0	0	0	0
16122944-16122944_analysis_1	0	1	1	0	0	0	0	0	0
16122944-16122944_analysis_2	0	2	0	0	0	0	0	0	0
16122944-16122944_analysis_3	0	0	0	0	0	0	0	0	0
16122944-16122944_analysis_4	0	2	1	0	0	0	0	0	0
16171833-16171833_analysis_0	0	0	2	0	0	0	0	0	0
16171833-16171833_analysis_1	0	5	0	0	0	0	0	0	0
16171833-16171833_analysis_2	0	1	1	0	0	0	0	0	0
16171833-16171833_analysis_3	0	3	1	0	0	0	0	0	0
16171833-16171833_analysis_4	0	0	1	0	0	0	0	0	0
16171833-16171833_analysis_5	0	1	0	0	0	0	0	0	0
16213690-16213690_analysis_0	6	5	5	0	0	0	0	0	0
16406606-16406606_analysis_0	0	3	0	0	0	0	0	0	0
16406606-16406606_analysis_1	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_0	1	2	1	0	0	0	0	0	0
16624578-16624578_analysis_1	0	2	0	0	0	0	0	0	0
16624578-16624578_analysis_10	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_2	1	2	0	0	0	0	0	0	0
16624578-16624578_analysis_3	1	1	0	0	0	0	0	0	0
16624578-16624578_analysis_4	0	3	0	0	0	0	0	0	0
16624578-16624578_analysis_5	0	1	0	0	0	0	0	0	0
16624578-16624578_analysis_6	0	1	0	0	0	0	0	0	0
16624578-16624578_analysis_7	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_8	0	1	0	0	0	0	0	0	0
16624578-16624578_analysis_9	0	0	0	0	0	0	0	0	0
16706860-16706860_analysis_0	0	9	1	0	0	0	0	0	0
16706860-16706860_analysis_1	0	0	2	0	0	0	0	0	0
16759672-16759672_analysis_0	0	2	1	0	0	0	0	0	0
16759672-16759672_analysis_1	0	3	1	0	0	0	0	0	0
16759672-16759672_analysis_2	0	2	0	0	0	0	0	0	0
16764897-16764897_analysis_0	0	7	1	0	0	0	0	0	0
16764897-16764897_analysis_1	0	1	0	0	0	0	0	0	0
16764897-16764897_analysis_2	0	1	0	0	0	0	0	0	0
16764897-16764897_analysis_3	0	1	0	0	0	0	0	0	0
16780808-16780808_analysis_0	0	6	1	0	0	0	0	0	0
16780808-16780808_analysis_1	0	4	2	0	0	0	0	0	0
16780808-16780808_analysis_2	1	5	2	0	0	0	0	0	0
16806312-16806312_analysis_0	0	3	1	0	0	0	0	0	0
16806312-16806312_analysis_1	0	1	0	0	0	0	0	0	0
16806312-16806312_analysis_2	0	1	0	0	0	0	0	0	0
16806312-16806312_analysis_3	0	3	1	0	0	0	0	0	0
16806312-16806312_analysis_4	0	4	0	0	0	0	0	0	0
16806312-16806312_analysis_5	0	0	1	0	0	0	0	0	0
17046722-17046722_analysis_0	0	1	1	0	0	0	0	0	0
17046722-17046722_analysis_1	0	1	0	0	0	0	0	0	0
17046722-17046722_analysis_2	0	1	0	0	0	0	0	0	0
17046722-17046722_analysis_3	0	4	0	0	0	0	0	0	0
17046722-17046722_analysis_4	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_5	0	2	1	0	0	0	0	0	0
17071110-17071110_analysis_0	0	8	0	0	0	0	0	0	0
17071110-17071110_analysis_1	0	1	0	0	0	0	0	0	0
17071110-17071110_analysis_2	0	6	0	0	0	0	0	0	0
17372621-17372621_analysis_0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_1	0	3	1	0	0	0	0	0	0
17372621-17372621_analysis_10	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_11	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_2	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_3	0	3	1	0	0	0	0	0	0
17372621-17372621_analysis_4	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_5	0	0	1	0	0	0	0	0	0
17372621-17372621_analysis_6	0	0	1	0	0	0	0	0	0
17372621-17372621_analysis_7	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_8	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_9	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_0	0	4	0	0	0	0	0	0	0
17400195-17400195_analysis_1	0	3	0	0	0	0	0	0	0
17400195-17400195_analysis_10	0	4	0	0	0	0	0	0	0
17400195-17400195_analysis_11	0	6	0	0	0	0	0	0	0
17400195-17400195_analysis_12	0	4	0	0	0	0	0	0	0
17400195-17400195_analysis_13	0	3	0	0	0	0	0	0	0
17400195-17400195_analysis_2	0	2	1	0	0	0	0	0	0
17400195-17400195_analysis_3	0	1	0	0	0	0	0	0	0
17400195-17400195_analysis_4	0	5	0	0	0	0	0	0	0
17400195-17400195_analysis_5	0	9	0	0	0	0	0	0	0
17400195-17400195_analysis_6	0	1	0	0	0	0	0	0	0
17400195-17400195_analysis_7	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_8	0	2	0	0	0	0	0	0	0
17400195-17400195_analysis_9	0	3	0	0	0	0	0	0	0
17408704-17408704_analysis_0	0	2	0	0	0	0	0	0	0
17408704-17408704_analysis_1	0	5	0	0	0	0	0	0	0
17408704-17408704_analysis_2	0	5	0	0	0	0	0	0	0
17499173-17499173_analysis_0	0	27	0	0	0	0	0	0	0
17627852-17627852_analysis_0	0	3	1	0	0	0	0	0	0
17627852-17627852_analysis_1	0	3	0	0	1	1	0	0	0
17627852-17627852_analysis_2	0	2	1	0	0	0	0	0	0
17627852-17627852_analysis_3	1	0	1	0	0	0	0	0	0
17765572-17765572_analysis_0	1	6	2	0	0	0	0	1	0
17765572-17765572_analysis_1	0	0	0	0	0	0	0	0	0
17765572-17765572_analysis_2	1	6	4	0	0	0	0	0	0
17765572-17765572_analysis_3	0	0	0	0	0	0	0	0	0
17765572-17765572_analysis_4	0	5	2	0	0	0	0	0	0
17765572-17765572_analysis_5	0	0	0	0	0	0	0	0	0
17765572-17765572_analysis_6	1	5	2	0	0	0	0	0	0
17765572-17765572_analysis_7	0	2	0	0	0	0	0	0	0
17765572-17765572_analysis_8	0	4	2	0	0	0	0	0	0
17765572-17765572_analysis_9	0	0	0	0	0	0	0	0	0
17826962-17826962_analysis_0	0	6	0	0	0	0	0	0	0
17913474-17913474_analysis_0	3	13	5	0	0	0	0	0	0
17964185-17964185_analysis_0	0	10	1	0	0	0	0	0	0
17964741-17964741_analysis_0	0	7	3	0	0	0	0	0	0
17964741-17964741_analysis_1	0	4	0	0	0	0	0	0	0
17964741-17964741_analysis_2	0	3	0	0	0	0	0	0	0
17964741-17964741_analysis_3	0	2	0	0	0	0	0	0	0
17964741-17964741_analysis_4	0	0	0	0	0	0	0	0	0
18034695-18034695_analysis_0	0	1	0	0	0	0	0	0	0
18064585-18064585_analysis_0	0	8	1	0	0	0	0	0	0
18064585-18064585_analysis_1	0	4	0	0	0	0	0	0	0
18064585-18064585_analysis_2	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_3	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_4	0	3	0	0	0	0	0	0	0
18064585-18064585_analysis_5	0	6	0	0	0	0	0	0	0
18064585-18064585_analysis_6	0	2	1	0	0	0	0	0	0
18082427-18082427_analysis_0	0	18	1	0	0	0	0	0	0
18082427-18082427_analysis_1	0	8	0	0	0	0	0	0	0
18082427-18082427_analysis_2	0	35	0	0	0	0	0	0	0
18178386-18178386_analysis_0	0	2	0	0	0	0	0	0	0
18187342-18187342_analysis_0	0	0	1	0	0	0	0	0	0
18276163-18276163_analysis_0	0	11	3	0	0	0	0	0	0
18276163-18276163_analysis_1	0	8	0	0	0	0	0	0	0
18276163-18276163_analysis_2	0	2	0	0	0	0	0	0	0
18276163-18276163_analysis_3	0	4	0	0	0	0	0	0	0
18276163-18276163_analysis_4	0	2	0	0	0	0	0	0	0
18276163-18276163_analysis_5	0	1	0	0	0	0	0	0	0
18431500-18431500_analysis_0	2	2	2	0	0	0	0	0	0
18431500-18431500_analysis_1	1	0	3	0	0	0	0	0	0
18431500-18431500_analysis_2	0	2	1	0	0	0	0	0	0
18431500-18431500_analysis_3	1	2	0	0	0	0	0	0	0
18431500-18431500_analysis_4	0	0	1	0	0	0	0	0	0
18431500-18431500_analysis_5	0	0	1	0	0	0	0	0	0
18434197-18434197_analysis_0	0	0	9	0	0	0	0	0	0
18434197-18434197_analysis_1	2	0	1	0	0	0	0	0	0
18486489-18486489_analysis_0	0	0	1	0	0	0	0	0	0
18486489-18486489_analysis_1	1	0	3	0	0	0	0	0	0
18486489-18486489_analysis_2	0	4	3	0	0	0	0	0	0
18486489-18486489_analysis_3	0	0	1	0	0	0	0	0	0
18486489-18486489_analysis_4	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_5	0	1	0	0	0	0	0	0	0
18486489-18486489_analysis_6	2	4	2	0	0	0	0	0	0
18486489-18486489_analysis_7	0	0	1	0	0	0	0	0	0
18486489-18486489_analysis_8	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_9	1	11	2	0	0	0	0	0	0
18486491-18486491_analysis_0	1	7	1	0	0	0	0	0	0
18486491-18486491_analysis_1	0	8	1	0	0	0	0	0	0
18486491-18486491_analysis_2	0	1	0	0	0	0	0	0	0
18486491-18486491_analysis_3	0	2	1	0	0	0	0	0	0
18501639-18501639_analysis_0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_1	0	2	0	0	0	0	0	0	0
18501639-18501639_analysis_10	1	0	2	0	0	0	0	0	0
18501639-18501639_analysis_11	0	1	0	0	0	0	0	0	0
18501639-18501639_analysis_12	1	1	2	0	0	0	0	0	0
18501639-18501639_analysis_13	0	1	0	0	0	0	0	0	0
18501639-18501639_analysis_14	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_2	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_3	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_4	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_5	0	1	0	0	0	0	0	0	0
18501639-18501639_analysis_6	0	1	0	0	0	0	0	0	0
18501639-18501639_analysis_7	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_8	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_9	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_0	1	9	1	0	0	0	0	0	0
18514546-18514546_analysis_1	0	6	1	0	0	0	0	0	0
18514546-18514546_analysis_2	0	4	0	0	0	0	0	0	0
18514546-18514546_analysis_3	0	2	0	0	0	0	0	0	0
18514546-18514546_analysis_4	0	2	0	0	0	0	0	0	0
18514546-18514546_analysis_5	0	1	0	0	0	0	0	0	0
18537114-18537114_analysis_0	0	4	1	0	0	0	0	0	0
18537114-18537114_analysis_1	0	2	1	0	0	0	0	0	0
18537114-18537114_analysis_2	0	4	1	0	0	0	0	0	0
18573266-18573266_analysis_0	0	8	6	0	0	0	0	0	0
18587523-18587523_analysis_0	1	10	3	0	0	0	0	0	0
18587523-18587523_analysis_1	0	16	0	0	0	0	0	0	0
18587523-18587523_analysis_2	0	0	0	0	0	0	0	0	0
18587523-18587523_analysis_3	0	4	0	0	0	0	0	0	0
18603608-18603608_analysis_0	0	3	1	0	0	0	0	0	0
18603608-18603608_analysis_1	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_0	0	5	1	0	0	0	0	0	0
18633788-18633788_analysis_1	0	4	0	0	0	0	0	0	0
18633788-18633788_analysis_10	0	5	0	0	0	0	0	0	0
18633788-18633788_analysis_11	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_12	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_13	1	2	1	0	0	0	0	0	0
18633788-18633788_analysis_2	0	5	1	0	0	0	0	0	0
18633788-18633788_analysis_3	0	0	1	0	0	0	0	0	0
18633788-18633788_analysis_4	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_5	0	2	0	0	0	0	0	0	0
18633788-18633788_analysis_6	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_7	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_8	0	0	1	0	0	0	0	0	0
18633788-18633788_analysis_9	0	0	0	0	0	0	0	0	0
18633810-18633810_analysis_0	0	0	0	0	0	0	0	0	0
18633810-18633810_analysis_1	0	0	0	0	0	0	0	0	0
18633810-18633810_analysis_2	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_0	0	6	1	0	0	0	0	0	0
18633834-18633834_analysis_1	0	4	0	0	0	0	0	0	0
18633834-18633834_analysis_2	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_3	0	3	0	0	0	0	0	0	0
18633834-18633834_analysis_4	0	7	1	0	0	0	0	0	0
18633834-18633834_analysis_5	0	0	0	0	0	0	0	0	0
18633845-18633845_analysis_0	2	2	0	0	0	0	0	0	0
18633846-18633846_analysis_0	1	5	0	0	0	0	0	0	0
18633846-18633846_analysis_1	0	3	0	0	0	0	0	0	0
18633846-18633846_analysis_2	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_0	0	11	1	0	0	0	0	0	0
18633856-18633856_analysis_1	0	1	0	0	0	0	0	0	0
18778781-18778781_analysis_0	0	2	2	0	0	0	0	0	0
18778781-18778781_analysis_1	0	6	0	0	0	0	0	0	0
18778781-18778781_analysis_2	0	0	1	0	0	0	0	0	0
18778781-18778781_analysis_3	0	1	0	0	0	0	0	0	0
18778781-18778781_analysis_4	0	1	0	0	0	0	0	0	0
18778781-18778781_analysis_5	0	1	0	0	0	0	0	0	0
18778781-18778781_analysis_6	0	1	1	0	0	0	0	0	0
18781590-18781590_analysis_0	0	13	0	0	1	1	0	0	0
18781590-18781590_analysis_1	0	3	0	0	0	0	0	0	0
18781590-18781590_analysis_10	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_11	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_12	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_13	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_14	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_15	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_16	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_17	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_18	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_19	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_2	0	0	0	0	0	0	0	0	0
18781590-18781590_analysis_20	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_21	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_3	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_4	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_5	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_6	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_7	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_8	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_9	0	1	0	0	0	0	0	0	0
18783371-18783371_analysis_0	0	8	1	0	0	0	0	0	0
18809234-18809234_analysis_0	0	2	0	0	0	0	0	0	0
18809234-18809234_analysis_1	0	3	0	0	0	0	0	0	0
18809234-18809234_analysis_2	0	2	0	0	0	0	0	0	0
18809234-18809234_analysis_3	0	2	0	0	0	0	0	0	0
18809234-18809234_analysis_4	0	0	1	0	0	0	0	0	0
18809234-18809234_analysis_5	0	3	0	0	0	0	0	0	0
18809234-18809234_analysis_6	0	2	0	0	0	0	0	0	0
18809234-18809234_analysis_7	0	3	0	0	0	0	0	0	0
18809234-18809234_analysis_8	0	2	0	0	0	0	0	0	0
18958158-18958158_analysis_0	0	3	0	0	0	0	0	0	0
18958158-18958158_analysis_1	0	4	0	0	0	0	0	0	0
18958158-18958158_analysis_2	0	1	0	0	0	0	0	0	0
18958158-18958158_analysis_3	0	7	1	0	0	0	0	0	0
18958158-18958158_analysis_4	0	7	1	0	0	0	0	0	0
18958158-18958158_analysis_5	0	1	1	0	0	0	0	0	0
19048432-19048432_analysis_0	0	4	0	0	0	0	0	0	0
19048432-19048432_analysis_1	0	1	0	0	0	0	0	0	0
19048432-19048432_analysis_2	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_3	0	1	0	0	0	0	0	0	0
19048432-19048432_analysis_4	0	2	0	0	0	0	0	0	0
19048432-19048432_analysis_5	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_6	0	1	1	0	0	0	0	0	0
19107754-19107754_analysis_0	0	3	0	0	0	0	0	0	0
19107754-19107754_analysis_1	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_2	0	1	1	0	0	0	0	0	0
19107754-19107754_analysis_3	0	5	2	0	0	0	0	0	0
19107754-19107754_analysis_4	0	1	1	0	0	0	0	0	0
19107754-19107754_analysis_5	0	3	1	0	0	0	0	0	0
19184995-19184995_analysis_0	0	6	1	0	0	0	0	0	0
19184995-19184995_analysis_1	0	3	2	0	0	0	0	0	0
19186163-19186163_analysis_0	0	2	1	0	0	0	0	0	0
19186163-19186163_analysis_1	0	5	0	0	0	0	0	0	0
19186163-19186163_analysis_2	0	3	3	0	0	0	0	0	0
19186163-19186163_analysis_3	0	0	1	0	0	0	0	0	0
19186163-19186163_analysis_4	0	2	0	0	0	0	0	0	0
19186163-19186163_analysis_5	1	3	1	0	0	0	0	0	0
19186163-19186163_analysis_6	0	0	4	0	0	0	0	0	0
19186163-19186163_analysis_7	0	0	2	0	0	0	0	0	0
19186163-19186163_analysis_8	3	0	0	0	0	0	0	0	0
19186163-19186163_analysis_9	3	0	0	0	0	0	0	0	0
19347874-19347874_analysis_0	0	8	0	0	0	0	0	0	0
19347874-19347874_analysis_1	0	6	0	0	0	0	0	0	0
19347874-19347874_analysis_2	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_3	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_4	0	2	0	0	0	0	0	0	0
19398309-19398309_analysis_0	0	2	0	0	0	0	0	0	0
19398309-19398309_analysis_1	0	2	0	0	0	0	0	0	0
19398309-19398309_analysis_2	0	12	0	0	0	0	0	0	0
19398309-19398309_analysis_3	0	0	0	0	0	0	0	0	0
19409961-19409961_analysis_0	1	3	0	0	0	0	0	0	0
19428413-19428413_analysis_0	0	12	0	0	0	0	0	0	0
19428413-19428413_analysis_1	0	7	0	0	0	0	0	0	0
19428413-19428413_analysis_2	0	4	0	0	0	0	0	0	0
19428413-19428413_analysis_3	0	1	0	0	0	0	0	0	0
19428413-19428413_analysis_4	0	0	1	0	0	0	0	0	0
19428413-19428413_analysis_5	0	1	0	0	0	0	0	0	0
19428413-19428413_analysis_6	0	1	0	0	0	0	0	0	0
19428413-19428413_analysis_7	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_0	0	11	5	0	0	0	0	0	0
19439183-19439183_analysis_1	0	10	3	0	0	0	0	0	0
19439183-19439183_analysis_2	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_3	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_4	0	10	3	0	0	0	0	0	0
19439183-19439183_analysis_5	0	2	1	0	0	0	0	0	0
19439183-19439183_analysis_6	0	2	1	0	0	0	0	0	0
19439183-19439183_analysis_7	0	1	2	0	0	0	0	0	0
19439183-19439183_analysis_8	0	3	1	0	0	0	0	0	0
19559343-19559343_analysis_0	1	2	1	0	0	0	0	0	0
19559343-19559343_analysis_1	1	1	1	0	0	0	0	0	0
19559343-19559343_analysis_2	0	0	0	0	0	0	0	0	0
19562629-19562629_analysis_0	0	1	1	0	0	0	0	0	0
19562629-19562629_analysis_1	0	0	0	0	0	0	0	0	0
19562629-19562629_analysis_2	1	1	0	0	0	0	0	0	0
19594509-19594509_analysis_0	0	9	0	0	0	0	0	0	0
19594509-19594509_analysis_1	0	0	1	0	0	0	0	0	0
19594509-19594509_analysis_2	0	2	0	0	0	0	0	0	0
19620621-19620621_analysis_0	0	0	0	0	0	0	0	0	0
19620621-19620621_analysis_1	0	0	0	0	0	0	0	0	0
19620621-19620621_analysis_2	1	2	1	0	0	0	0	0	0
19620621-19620621_analysis_3	0	2	0	0	0	0	0	0	0
19620621-19620621_analysis_4	0	1	0	0	0	0	0	0	0
19620621-19620621_analysis_5	0	2	0	0	0	0	0	0	0
19630891-19630891_analysis_0	1	13	3	0	0	0	0	0	0
19630891-19630891_analysis_1	1	17	5	0	0	0	0	0	0
19630891-19630891_analysis_2	1	14	4	0	0	0	0	0	0
19630891-19630891_analysis_3	0	13	5	0	0	0	0	0	0
19630891-19630891_analysis_4	1	12	4	0	0	0	0	0	0
19630891-19630891_analysis_5	1	10	5	0	0	0	0	0	0
19630891-19630891_analysis_6	1	11	4	0	0	0	0	0	0
19630891-19630891_analysis_7	1	12	3	0	0	0	0	0	0
19632283-19632283_analysis_0	0	1	1	0	0	0	0	0	0
19632283-19632283_analysis_1	0	2	0	0	0	0	0	0	0
19632283-19632283_analysis_2	0	1	0	0	0	0	0	0	0
19632283-19632283_analysis_3	0	1	0	0	0	0	0	0	0
19632283-19632283_analysis_4	0	0	0	0	0	0	0	0	0
19632283-19632283_analysis_5	0	0	0	0	0	0	0	0	0
19632816-19632816_analysis_0	0	2	1	0	0	0	0	0	0
19632816-19632816_analysis_1	0	1	0	0	0	0	0	0	0
19733672-19733672_analysis_0	1	2	0	0	0	0	0	0	0
19733672-19733672_analysis_1	1	1	2	0	0	0	0	0	0
19733672-19733672_analysis_2	1	7	1	0	0	0	0	0	0
19733672-19733672_analysis_3	0	7	0	0	0	0	0	0	0
19733672-19733672_analysis_4	1	3	0	0	0	0	0	0	0
19733672-19733672_analysis_5	1	2	1	0	0	0	0	0	0
19747929-19747929_analysis_0	0	3	4	0	0	0	0	0	0
19747929-19747929_analysis_1	1	1	1	0	0	0	0	0	0
19747929-19747929_analysis_2	0	4	5	0	0	0	0	0	0
19747929-19747929_analysis_3	1	0	0	0	0	0	0	0	0
19826471-19826471_analysis_0	0	5	1	0	0	0	0	0	0
19826471-19826471_analysis_1	0	2	0	0	0	0	0	0	0
19826471-19826471_analysis_2	0	3	1	0	0	0	0	0	0
19826471-19826471_analysis_3	0	2	1	0	0	0	0	0	0
19826471-19826471_analysis_4	0	0	0	0	0	0	0	0	0
19826471-19826471_analysis_5	0	2	1	0	0	0	0	0	0
19826471-19826471_analysis_6	0	0	1	0	0	0	0	0	0
19912448-19912448_analysis_0	7	19	5	0	0	0	0	0	0
19937724-19937724_analysis_0	0	6	0	0	0	0	0	0	0
19944083-19944083_analysis_0	0	2	2	0	0	0	0	0	0
19944083-19944083_analysis_1	0	0	0	0	0	0	0	0	0
19944083-19944083_analysis_2	1	5	1	0	0	0	0	0	0
20045478-20045478_analysis_0	2	4	1	0	0	0	0	0	0
20045478-20045478_analysis_1	1	7	4	0	0	0	0	0	0
20045478-20045478_analysis_2	0	5	0	0	0	0	0	0	0
20045478-20045478_analysis_3	1	2	0	0	0	0	0	0	0
20056152-20056152_analysis_0	0	1	1	0	0	0	0	0	0
20056152-20056152_analysis_1	0	7	1	0	0	0	0	0	0
20096792-20096792_analysis_0	0	11	3	0	0	0	0	0	0
20096792-20096792_analysis_1	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_2	0	7	0	0	0	0	0	0	0
20096792-20096792_analysis_3	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_0	0	2	0	0	0	0	0	0	0
20119878-20119878_analysis_1	0	1	0	0	0	0	0	0	0
20119878-20119878_analysis_2	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_3	0	0	0	0	0	0	0	0	0
20188182-20188182_analysis_0	0	5	3	0	0	0	0	0	0
20188190-20188190_analysis_0	0	4	1	0	0	0	0	0	0
20188190-20188190_analysis_1	0	5	1	0	0	0	0	0	0
20188190-20188190_analysis_2	1	4	2	0	0	0	0	0	0
20188190-20188190_analysis_3	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_4	1	10	2	0	0	0	0	0	0
20188190-20188190_analysis_5	0	1	1	0	0	0	0	0	0
20188190-20188190_analysis_6	0	4	2	0	0	0	0	0	0
20226769-20226769_analysis_0	1	1	1	0	0	0	0	0	0
20226769-20226769_analysis_1	0	0	0	0	0	0	0	0	0
20231838-20231838_analysis_0	1	7	2	0	0	0	0	0	0
20231838-20231838_analysis_1	0	0	0	0	0	0	0	0	0
20231838-20231838_analysis_2	0	1	0	0	0	0	0	0	0
20231838-20231838_analysis_3	0	1	0	0	0	0	0	0	0
20520767-20520767_analysis_0	1	14	1	0	0	0	0	0	0
20520767-20520767_analysis_1	0	3	0	0	0	0	0	0	0
20520767-20520767_analysis_2	0	3	1	0	0	0	0	0	0
20520767-20520767_analysis_3	0	2	0	0	0	0	0	0	0
20520767-20520767_analysis_4	0	3	1	0	0	0	0	0	0
